State,Ave_Yrly_Acc,Ave_Severity
CA,208033.5,2.233683517
FL,83274.5,2.275897784
TX,81670,2.282625199
SC,52424.25,2.186073239
NC,46827.5,2.152479846
NY,42371.75,2.383581042
VA,30364.75,2.407149738
PA,28712,2.282373224
OR,26831.5,2.132391033
MN,25732.5,2.28515496
IL,23658.75,2.428446135
GA,23468.5,2.617796195
AZ,22583.25,2.152757021
MI,22285.5,2.444650109
TN,21701.75,2.282097066
LA,19927.75,2.178118453
WA,16347.5,2.419911301
OK,16075.25,2.10682571
MD,15605.5,2.496107142
OH,15457.75,2.425385325
NJ,15313.25,2.354758134
UT,14260.5,2.25288384
AL,14220.5,2.302855033
CO,13177.75,2.531369164
MA,9729.5,2.377511691
IN,9122.75,2.457866323
MO,9098.75,2.596098365
CT,7079.75,2.532928423
KY,5911.25,2.48762952
WI,4989.25,2.6280002
NE,4799,2.188320483
IA,3050,2.578278689
RI,2877,2.516684046
NV,2666.5,2.373710857
KS,2244,2.564282531
NH,2061,2.224526929
MS,1913.25,2.453024958
DE,1657.25,2.318901795
NM,1577.25,2.460453321
DC,1514.25,2.369985141
AR,1269.75,2.390431187
ID,958,2.185803758
MT,823.75,2.103186646
WV,797,2.437892095
ME,552.75,2.108548168
VT,188.5,2.372679045
ND,116.5,2.060085837
WY,113,3.132743363
SD,53,2.372641509
