"","State","Train","Test"
"1","CA",0.242638175583625,0.255196203930762
"2","TX",0.254031133366096,0.268286203827916
"3","FL",0.24673342226575,0.265474292816038
"4","SC",0.171246400658165,0.171007474965916
"5","NC",0.146194900688782,0.147863844304877
"6","NY",0.276617637359013,0.34575099596338
"7","PA",0.193882707485368,0.222160970231533
"8","VA",0.26450043474438,0.341735052754982
"9","IL",0.217108649434933,0.380538895354042
"10","OR",0.111038047114741,0.123442547300415
"11","GA",0.340214486597505,0.37949866965411
"12","MI",0.324529060010872,0.377233620119126
"13","MN",0.154434939216569,0.22854163704441
"14","AZ",0.227867135683789,0.24456259062349
"15","TN",0.265777727555229,0.286795864173117
"16","LA",0.188725794438928,0.187934458788481
"17","WA",0.323171139816612,0.37219730941704
"18","OH",0.342052657656888,0.360306178239475
"19","MD",0.283618625594111,0.368567753001715
"20","NJ",0.29199045794629,0.300007229089858
"21","OK",0.100314083665722,0.101664868197934
"22","UT",0.205761937596966,0.234183761420445
"23","AL",0.23595825842943,0.276944663684995
"24","CO",0.242944387896734,0.35588044785787
"25","MA",0.306868412104726,0.364615210245948
"26","MO",0.289707988294627,0.389241688457228
"27","IN",0.274736807582565,0.361012724649088
"28","CT",0.304658671586716,0.432349323493235
"29","NE",0.156810797300675,0.163967206558688
"30","KY",0.255184623166414,0.335828444264617
"31","WI",0.266337496369445,0.462592936802974
"32","IA",0.283262935586061,0.42731432594157
"33","RI",0.243876464323749,0.415182029434547
"34","NV",0.223851112497401,0.313929313929314
"35","KS",0.286649550706033,0.399383983572895
"36","NH",0.18840368044399,0.207359813084112
"37","MS",0.221446306641837,0.346368715083799
"38","DE",0.182591386174448,0.222865412445731
"39","DC",0.14743712804761,0.271121351766513
"40","NM",0.197292069632495,0.376160990712074
"41","AR",0.182664054848188,0.233104799216454
"42","ID",0.100264628050573,0.114117647058824
"43","WV",0.230131306150657,0.268326417704011
"44","MT",0.0372300819061802,0.0730253353204173
"45","ME",0.0852424080980288,0.104477611940299
"46","VT",0.173419773095624,0.324675324675325
"47","WY",0.100719424460432,0.480769230769231
"48","ND",0.008,0.074468085106383
"49","SD",0.0170454545454545,0.227272727272727
