Year,AK,AL,AR,CA,CO,CT,DE,FL,GA,HI,IL,IN,KY,LA,MA,ME,MI,MN,MO,MS,MT,ND,NE,NH,NM,NV,NY,OH,OK,PA,SC,SD,TX,UT,VA,VT,WI,WV,WY
1984,76043,40682,36837,59429,60637,70390,60679,46498,46966,67866,55822,53514,41551,44534,63359,48527,53972,57429,48825,36263,45913,48816,50287,60903,48484,60578,51768,54343,49702,47817,47730,45615,54111,54188,62339,53063,48750,39584,55972
1985,79031,41656,39652,61306,64035,70642,52215,48495,47827,65805,56509,51522,39447,48122,64091,46623,55082,54205,49849,37293,45980,48182,49531,59992,46405,52883,53712,57200,48182,51981,45525,41222,53948,57345,64596,59077,52819,36316,50172
1986,70021,42724,41826,64782,60722,73069,57225,51024,54421,64766,59202,50754,44381,46649,67750,52308,59412,59050,48961,36875,45394,48029,48619,68217,44316,58545,55883,56084,46779,53163,49057,44434,53956,58688,66356,54932,59021,36766,52610
1987,71744,42602,40644,65080,57157,70943,63133,52868,57671,75607,58470,48615,44629,46089,69603,50948,59804,60624,51207,39966,44200,48738,50232,69812,44813,58025,56959,55640,46827,54886,54077,45661,53368,57272,64756,54867,56926,37147,59562
1988,68972,41563,42030,63105,54619,75452,63559,52935,55352,68808,61515,54783,41478,42707,69201,55010,61407,60605,48845,37850,46320,50197,52420,72143,40204,58304,60246,57798,49312,55719,53200,46451,52012,54825,68024,60398,61621,40323,55046
1989,71878,42489,42786,65895,53513,84485,64017,52073,54982,69940,62484,51700,46480,45637,72038,56337,61436,60258,52896,39760,47296,50364,52540,74925,45120,58571,62875,57934,47246,57274,47508,48127,51676,61320,68109,62474,58138,43274,58932
1990,74764,44436,43350,63333,58469,73949,58604,50768,52434,74046,61910,51230,47143,42625,68959,52250,56954,59861,51998,38388,44470,48064,52284,77631,47636,60923,60101,57099,46390,55181,54668,46746,53703,57344,66726,59163,58427,42115,56047
1991,74551,44692,43019,61797,57822,77382,59816,50026,49953,68372,58529,49727,43623,46441,65560,51157,58957,54114,51263,35750,45575,47530,54243,66144,48719,60462,58364,54685,46740,55744,50414,45230,50909,51429,66336,53520,57151,42491,53327
1992,74874,46226,42776,62517,58184,73152,63905,48986,51580,75431,56513,51102,42065,45565,65124,53049,57795,55492,49008,36844,47510,48288,53821,70636,46319,57152,55617,56249,45287,53523,49396,47034,50068,61349,68418,58669,59660,36308,54109
1993,75005,43821,40251,59529,60254,69038,63007,49880,55318,74535,57404,51496,42587,45970,64755,47937,57064,58846,50110,38770,46246,49125,54174,66327,46749,62571,55378,54658,45879,54151,45517,48459,50189,62522,63652,54274,55498,39172,51438
